Tier,Name,Dependencies,Relationship,Category,Encoder / Decoder,Description,Key Technique,Architecture,(Pre)-training Objective,Rationale,BibTex (Unverified)
0,BM25,N/A,N/A,Retrieval Algorithm,N/A,Robust bag-of-words retrieval function that ranks documents based on the appearance of query terms. Serves as a highly effective standard baseline for sparse retrieval tasks in search engines.,Utilizes probabilistic term-weighting over TF-IDF to score document relevance. Introduces term frequency saturation and document-length normalization to prevent long documents from dominating results.,N/A,N/A,"Designed to improve upon basic TF-IDF by addressing its flaws, specifically by capping the impact of repeated words. Works exceptionally well for exact keyword matching and remains a lightweight fallback for modern neural systems.",robertson2009probabilistic
0,Transformer,N/A,N/A,Foundation Architecture,Encoder + Decoder,Foundational sequence-to-sequence model that completely eliminated the need for recurrence and convolutions. Relies exclusively on attention mechanisms to draw global dependencies between input and output tokens.,Multi-head self-attention allows every position in a sequence to attend to every other position in O(nÂ²) time. Uses positional encodings to inject sequence order information without relying on sequential processing.,"Stacked encoder and decoder architecture. Each layer contains multi-head self-attention and a position-wise fully connected feed-forward network, augmented with residual connections and layer normalization.",Supervised sequence-to-sequence learning on the WMT 2014 English-German dataset. Utilized standard cross-entropy loss to optimize machine translation accuracy.,"Developed to overcome the sequential bottleneck of RNNs, enabling massive parallelization during training. This parallel nature, combined with direct global context, made it the universal backbone for modern AI scaling.",vaswani2017attention
0,InfoNCE,Cross-Entropy,Extends,Loss Function,N/A,Powerful contrastive loss function used extensively in representation learning. Trains models to distinguish a matching positive pair from a large pool of negative pairs within a given batch.,Formulates the contrastive learning problem as a categorical cross-entropy classification task over a batch of samples. Pulls positive pairs closer in embedding space while simultaneously pushing away multiple negative examples.,N/A,N/A,"Provides a highly efficient way to learn robust, generalized representations without requiring explicit manual labels. Maximizes the amount of learning signal extracted from a single forward pass by using in-batch negatives.",oord2018representation
0,MaxSim,N/A,N/A,Similarity Metric,N/A,Fine-grained similarity scoring mechanism pioneered in Late Interaction retrieval models. Computes the relevance between a query and a document by comparing their multi-vector representations at the token level.,Computes the dot product between every query token and every document token instead of pooling a sequence into a single vector. Selects the maximum document token score for each query token and sums these maximums to produce the final relevance score.,N/A,N/A,"Introduced to solve the information bottleneck inherent in single-vector models like DPR. Preserves token-level details, enabling highly accurate fuzzy keyword matching while remaining computationally cheaper than full cross-encoders.",khattab2020colbert
0,Cross-Entropy,N/A,N/A,Loss Function,N/A,Standard classification loss function used across deep learning. Measures the performance of a classification model whose output is a probability value between 0 and 1.,Quantifies the difference between two probability distributions: the true distribution (labels) and the predicted distribution (model outputs). Heavily penalizes predictions that are both confident and wrong.,N/A,N/A,"Provides a smooth, differentiable gradient that directs the model to increase the predicted probability of the correct class. Works universally well by naturally aligning with maximum likelihood estimation principles.",goodfellow2016deep
0,Sigmoid Contrastive Loss,Cross-Entropy,Alternative to,Loss Function,N/A,Scalable alternative to the standard softmax-based contrastive loss used in massive vision-language models. Operates solely on image-text pairs and avoids global normalization across the batch.,"Computes pairwise sigmoid loss independently for every item, treating the alignment task as a series of binary classification problems. Eliminates the need to gather representations across different AI accelerators.",N/A,N/A,"Standard softmax loss requires cross-device synchronization, limiting batch sizes and scaling. Isolating the loss calculation to independent pairs unlocks theoretically infinite batch sizes, leading to better performance at scale.",zhai2023sigmoid
1,BERT,Transformer,Uses,Language Model,Encoder,Landmark natural language processing model that introduced deep bidirectional pre-training. Learns rich contextual representations by looking at both the left and right context of a token simultaneously.,"Introduced the Masked Language Modeling (MLM) objective, randomly masking 15% of the input tokens and forcing the model to predict them. Bypassed the unidirectional constraint of previous language models.",Multi-layer bidirectional Transformer encoder. Utilizes WordPiece tokenization and incorporates special [CLS] and [SEP] tokens to handle classification and sentence-pair tasks.,Joint objectives of Masked Language Modeling (MLM) and Next Sentence Prediction (NSP) on BookCorpus and English Wikipedia.,"Unidirectional models could not capture the full context of a word in a sentence. Bidirectional approach allowed for highly robust contextual embeddings, revolutionizing fine-tuning performance on downstream NLP tasks.",devlin2018bert
1,ViT,Transformer,Uses,Vision Model,Encoder,Paradigm-shifting model applying a standard Transformer directly to images. Proved that convolutions are not strictly necessary for achieving state-of-the-art computer vision performance.,Treats an image as a sequence of discrete visual tokens by splitting it into fixed-size patches. Linearly projects these patches into flat vectors fed into the transformer just like text words.,Standard Transformer Encoder. Relies on learnable positional embeddings to retain spatial information and appends a [CLS] token to aggregate global image features for classification.,Supervised image classification on massive proprietary and public datasets like JFT-300M and ImageNet-21k.,Leverages the massive scalability and efficiency of transformers for computer vision. Removing CNN inductive biases allows the learning of more generalized patterns when provided with sufficient data scale.,dosovitskiy2020image
1,T5,Transformer,Uses,Language Model,Encoder + Decoder,"Unified framework casting every NLP problem into a text-to-text format. Allows the exact same model, objective, and hyperparameters to be used across highly diverse tasks.","Relies on task-specific prefixes (e.g., 'translate English to German:') to condition output natively. Introduced a novel span-corruption pre-training objective that masks consecutive tokens rather than isolated words.","Transformer encoder-decoder architecture utilizing relative positional embeddings instead of absolute ones, allowing better generalization to varying sequence lengths.",Span-corruption objective on the massive Colossal Clean Crawled Corpus (C4). Learns to reconstruct missing text spans autoregressively.,"Previous models required task-specific architectures or classification heads for different downstream tasks. Streamlined the entire NLP pipeline, demonstrating that a single generative framework could achieve SOTA across the board.",raffel2020exploring
1,DiT (Document Image Transformer),ViT,Extends,Vision Model,Encoder,Specialized vision transformer explicitly adapted for Document AI. Captures complex visual layouts and structures of document images without requiring OCR text as an input.,"Applies generative masked image modeling specifically to the document domain. Forces the reconstruction of visual pixels of masked document patches, implicitly learning text boundaries and layouts.",Standard ViT (Transformer Encoder) architecture initialized and trained specifically for high-resolution document processing rather than natural scenes.,"Masked Image Modeling (MIM) on the IIT-CDIP Test Collection, a massive dataset of unannotated document images.",General vision models trained on natural scenes perform poorly on text-dense documents. Created to build a domain-specific visual backbone that understands document semantics natively.,li2022dit
