Tier,Name,BibTex (Unverified),Dependencies,Relationship,Category,Encoder / Decoder,Description,Key Technique,Architecture,(Pre)-training Objective
0,BM25,robertson2009probabilistic,None,None,Retrieval Algorithm,N/A,"A robust bag-of-words retrieval function that ranks documents based on the appearance of query terms, serving as a standard baseline for sparse retrieval.",Probabilistic term-weighting over TF-IDF. Scores documents by term frequency saturation and document-length normalisation.,"Does not have a neural architecture. It relies on mathematical frequency counts (Term Frequency, Inverse Document Frequency) and hyperparameters (k1, b) to tune length normalization.",No pre-training or learned parameters. It relies strictly on corpus statistics.
0,Transformer,vaswani2017attention,None,None,Foundation Architecture,Encoder + Decoder,"The foundational sequence-to-sequence model that dispensed with recurrence and convolutions entirely, relying solely on attention mechanisms to draw global dependencies between input and output.","Self-attention over sequences of token embeddings, enabling each position to attend to every other position in O(nÂ²).","Composed of an encoder and a decoder stack. Each layer contains Multi-Head Self-Attention and a position-wise fully connected feed-forward network, augmented with residual connections and layer normalization. Positional encodings are injected to retain sequence order.",Supervised sequence-to-sequence training on the WMT 2014 English-German dataset for machine translation using cross-entropy loss.
0,InfoNCE,oord2018representation,Cross-Entropy,Extends,Loss Function,N/A,A contrastive loss function used for representation learning. It trains models to distinguish a matching 'positive' pair from a large pool of 'negative' pairs within a batch.,Pulls positive pairs closer in embedding space while pushing away multiple negative examples within the same batch.,N/A,N/A
0,MaxSim,khattab2020colbert,None,None,Similarity Metric,N/A,A fine-grained similarity scoring mechanism used in Late Interaction retrieval models to compare multi-vector representations of queries and documents instead of single global vectors.,Compares every token in a query against every token in a document and sums the maximum matches.,N/A,N/A
0,Cross-Entropy,goodfellow2016deep,None,None,Loss Function,N/A,The standard classification loss function that measures the performance of a classification model whose output is a probability value between 0 and 1.,Measures the difference between two probability distributions for a given random variable.,N/A,N/A
0,Sigmoid Contrastive Loss,zhai2023sigmoid,Cross-Entropy,Alternative to,Loss Function,N/A,"A scalable alternative to standard softmax contrastive loss. It processes solely on image-text pairs and avoids global normalization, allowing for theoretically infinite batch sizes across TPUs.","Computes pairwise sigmoid loss instead of softmax, avoiding the need for cross-device synchronization and large batch sizes.",N/A,N/A
1,BERT,devlin2018bert,Transformer,Uses,Language Model,Encoder,"A landmark language model that introduced deep bidirectional pre-training by masking tokens, allowing the model to learn context from both left and right simultaneously.",Masked language modeling to learn deep bidirectional representations.,Consists of a multi-layer bidirectional Transformer encoder. It drops the decoder entirely. It uses WordPiece tokenization and adds special [CLS] and [SEP] tokens.,"Pre-trained on two tasks: Masked Language Modeling (MLM) where 15% of tokens are masked and predicted, and Next Sentence Prediction (NSP) to understand sentence relationships."
1,ViT,dosovitskiy2020image,Transformer,Uses,Vision Model,Encoder,"The first model to successfully apply a standard Transformer directly to images with minimal modifications, proving convolutions are not strictly necessary for vision tasks.",Treats image patches as tokens and processes them through a standard Transformer encoder.,"An image is split into fixed-size patches (e.g., 16x16), linearly embedded into flat vectors, and fed into a standard Transformer Encoder along with learnable positional embeddings and a [CLS] token.",Supervised image classification pre-training on massive datasets (ImageNet-21k or JFT-300M) before fine-tuning on smaller datasets.
1,T5,raffel2020exploring,Transformer,Uses,Language Model,Encoder + Decoder,"A unified framework that casts every NLP problem (translation, QA, summarization) into a text-to-text format, allowing the exact same model, objective, and hyperparameters to be used across diverse tasks.",Frames all NLP tasks as text-to-text generation.,"Follows the original Transformer encoder-decoder architecture closely, but uses relative positional embeddings instead of absolute ones.",Pre-trained using a span-corruption objective (a variant of Masked Language Modeling) on the massive Colossal Clean Crawled Corpus (C4).
1,DiT (Document Image Transformer),li2022dit,ViT,Extends,Vision Model,Encoder,A vision transformer specifically adapted for Document AI. It captures the complex visual layouts and structures of document images without relying on OCR text as input.,Pre-trained on large-scale unlabeled document images using generative masked image modeling.,Standard ViT architecture but trained specifically on document images (IIT-CDIP Test Collection) rather than natural scenes.,"Masked Image Modeling (MIM). Patches of the document image are masked, and the model must reconstruct the visual pixels of the masked patches."
