ID,Name,OCR,Architecture,Bibtex,Venue,Prompting Strategy,Search Strategy,Agentic Strategy,Modality,Vision Encoder,LLM Backbone
6,Doc-V*,No,Agentic Pipeline,zheng2026doc,preprint,ReAct,Dense,Open,V,ColQwen,Qwen2.5-VL-7B-Instruct
7,DocAgent,Yes*,Agentic Pipeline,sun2025docagent,EMNLP,ReAct,Joint,Open,"T, V, L",-,Multiple (Closed-Source)
8,DocDancer,Yes*,Agentic Pipeline,zhang2026docdancer,preprint,ReAct,Joint,Open,"T, V, L",Qwen3-VL-235B,Qwen3-4B/30B-A3B
9,DocLens,Yes,Agentic Pipeline,zhu2025doclens,preprint,CoT,Joint,Open,"T, V, L",-,Multiple (Closed-Source)
12,DocReact,No,Agentic Pipeline,wu2025doc,ACL,ReAct,Dense,Open,V,"ColPali, VisRAG",GPT-4o
17,KGP,No,Agentic Pipeline,wang2024knowledge,AAAI,-,Sparse,Fixed,"T, L",-,Multiple
20,M2RAG,Yes*,Agentic Pipeline,duan2025m2rag,NeurIPS,-,Joint,Fixed,"T, V",VisRAG-Ret,Multiple (Qwen)
22,MACT,No,Agentic Pipeline,yu2025visual,preprint,CoT,Dense,Open ,"T, V",Multiple,Multiple (Qwen/Intern)
23,MDocAgent,Yes*,Agentic Pipeline,han2025mdocagent,preprint,-,Joint,Fixed,"T, V","ColPali, ColQwen2",Multiple (Llama/Qwen)
33,SimpleDoc,Yes*,Agentic Pipeline,jain2025simpledoc,EMNLP,CoT,Joint,Open,V,ColQwen-2.5,Multiple (Qwen)
36,ViDoRAG,Yes*,Agentic Pipeline,wang2025vidorag,EMNLP,ReAct,Joint,Open,"T, V","NV-Embed-V2, ColQwen2",Multiple (Qwen/LLaMa/GPT)
3,CoR,Yes*,Backbone-Centric MLLM Adaptation,guo2026end,preprint,CoT,-,-,V,Qwen2.5-VL,Qwen2.5-VL-7B
10,Docopilot,No*,Backbone-Centric MLLM Adaptation,duan2025docopilot,CVPR,-,-,-,V,InternViT-300M,Multiple (Intern)
11,DocR1,No,Backbone-Centric MLLM Adaptation,xiong2026docr1,AAAI,CoT,-,-,V,Qwen2.5-VL,Qwen2.5-VL-7B
13,DocSLM,Yes,Backbone-Centric MLLM Adaptation,hannan2025docslm,CVPR?,-,-,-,"T, V, L",SigLIP2,Qwen2.5-1.5B
16,InstructDoc,Yes,Backbone-Centric MLLM Adaptation,tanaka2024instructdoc,AAAI,-,-,-,"T, V, L",CLIP,"FlanT5, BLIP2"
18,LayTokenLLM,Yes,Backbone-Centric MLLM Adaptation,zhu2025simple,CVPR,-,-,-,"T, L",-,"LLaMA3-8B, Qwen1.5-7B"
19,Leopard,No,Backbone-Centric MLLM Adaptation,jia2024leopard,TMLR?,CoT,-,-,V,SigLIP-SO400M,"LLaMa-3.1-8B, Mistral-7B"
27,mPLUG-DocOwl2,No,Backbone-Centric MLLM Adaptation,hu2025mplug,ACL,-,-,-,V,ViT-L/14,mPLUG-Owl2
34,Texthawk2,No*,Backbone-Centric MLLM Adaptation,yu2024texthawk2,preprint,-,-,-,V,SigLIP-SO400M,Qwen2-7B-Instruct
1,Arctic-TILT,Yes,Hierarchical Document Transformer,borchmann2025arctic,ACL,-,-,-,"T, V, L",U-Net,T5-Large
14,GRAM,Yes,Hierarchical Document Transformer,blau2024gram,CVPR,-,-,-,"T, V, L",DocFormerv2,DocFormerv2
15,Hi-VT5,Yes,Hierarchical Document Transformer,tito2023hierarchical,PR,-,-,-,"T, V, L",DiT,T5-Base
31,RM-T5,Yes,Hierarchical Document Transformer,dong2024multi,DAS,-,-,-,"T, V, L",DiT,T5-Base
2,AVIR,No,Retriever-Generator,li2025avir,ACM,-,Dense,-,V,Pix2Struct,Qwen2.5-VL-3B-AWQ
4,CREAM,Yes,Retriever-Generator,zhang2024cream,ACM,-,Joint,-,"T, V",Pix2Struct,LLaMA2-7B
5,DFVC,No,Retriever-Generator,qian2026accurate,MDPI,-,Dense,-,V,"VisRAG, ColQwen",Qwen2-VL-2B-Instruct
21,M3DocRAG,No,Retriever-Generator,cho2024m3docrag,preprint,-,Dense,-,V,"ColPali, ColQwen",Multiple (Qwen/Intern/Idefics)
24,MHier-RAG,Yes,Retriever-Generator,gong2025mhier,preprint,CoT,Joint,-,"T, V, L",Qwen-VL-Plus,Multiple (Qwen/DS/GPT)
25,MLDocRAG,Yes,Retriever-Generator,zhang2026mldocrag,preprint,CoT,Dense,-,"T, V, L",-,Multiple (Qwen)
26,MoLoRAG,No,Retriever-Generator,wu2025molorag,EMNLP,-,Dense,-,V,ColPali,Multiple (Qwen/DS/LLaVA)
28,MultiDocFusion,Yes,Retriever-Generator,shin2025multidocfusion,ACL,-,Dense,-,"T, V, L",-,Multiple (Qwen/LLaMa/Mistral)
29,PDF-WuKong,Yes*,Retriever-Generator,xie2024wukong,preprint,-,Joint,-,"T, V",IXC2-VL-4KHD,IXC2-VL-4KHD
30,RAG-DocVQA,Yes*,Retriever-Generator,lopez2025enhancing,ICDAR,-,Dense,-,"T, V, L (V, L for OCR-free variant)","DiT, Pix2Struct",Qwen2.5-VL-7B-Instruct
32,Self-Attention Scoring,No,Retriever-Generator,kang2024multi,ICDAR,-,Dense,-,V,Pix2Struct,Pix2Struct
35,VDocRAG,No*,Retriever-Generator,tanaka2025vdocrag,CVPR,-,Dense,-,V,Phi3V-4.2B,Phi3V-4.2B
