ID,Model,OCR,Architecture,OCR Use,Key Technique,Architecture
6,Doc-V*,No,Agentic Pipeline,"No OCR is used; it explicitly uses OCR-free thumbnails, visual fetch actions, and visual working memory.","Coarse-to-fine visual agent fetches thumbnails and high-resolution page crops, trained with SFT and GRPO for evidence-seeking actions.","Agentic Qwen2.5-VL policy over cached page tokens, visual fetch actions, working memory, and final answer generation."
7,DocAgent,Yes*,Agentic Pipeline,"Uses OCR-derived document content for outline/search and text evidence, but is not fully OCR-dependent because it also retrieves and verifies page, image, chart, and table evidence through visual tools.","Tool-augmented agent builds a document outline and routes between text, image, table, and page evidence tools.",Training-free orchestration around commercial LLM/VLM APIs with retrieval/search tools instead of a learned document model.
8,DocDancer,Yes*,Agentic Pipeline,"Uses extracted text that may include OCR-derived strings through the document processing/read tools, but it is not OCR-dependent because the agent also reads images, tables, and page screenshots; OCR is mainly contrasted with baselines.","Supervised agent-trajectory tuning teaches an LLM to search, read, and synthesize document evidence using external parsers and multimodal readers.",Tool-using LLM agent; Qwen3 agent calls MinerU/Search/Read tools and an external Qwen3-VL reader rather than embedding pages end-to-end.
9,DocLens,Yes,Agentic Pipeline,"OCR-dependent: OCR/layout parsing supplies text and element structure used by the page navigator, localizer, answer sampler, and adjudicator agents.","Multi-agent tool framework decomposes long-document QA into page navigation, element localization, answer sampling, and adjudication.","Training-free agent pipeline over screenshots/crops and frontier VLMs, with OCR/layout parsing tools for evidence access."
12,DocReact,No,Agentic Pipeline,No OCR is used in the proposed method; OCR appears only in baseline comparisons while DocReact reasons over multi-page document images and multimodal evidence.,ReAct-style iterative reasoning retrieves multimodal page evidence and refines the answer through tool calls.,Training-free agentic RAG combining visual retrievers with GPT-4o reasoning over selected heterogeneous document pages.
20,M2RAG,Yes*,Agentic Pipeline,"Uses OCR/PDF parsing for the textual retrieval branch, but is not solely OCR-dependent because it also preserves page images and uses visual retrieval plus visual extraction agents.","Combines BM25 text retrieval, VisRAG visual retrieval, and fine-tuned VLM agents for visual extraction and modality fusion.","Multi-agent multimodal RAG with text filter, LoRA-tuned Qwen2.5-VL visual extractor, and modal fuser."
22,MACT,No,Agentic Pipeline,No OCR is used; VLM agents operate over visual document inputs with LLM-based judgment and answer synthesis.,"Specializes plan, execution, judgment, and answer agents, then optimizes collaboration with SFT and GRPO rewards.","Multi-agent VLM/LLM system with VLM plan/execute agents, LLM judge/answer agents, and adaptive test-time scaling."
23,MDocAgent,Yes*,Agentic Pipeline,"Uses OCR/PDF parsing to build the text retrieval branch, but is not fully OCR-dependent because it runs parallel image retrieval and dedicated image agents over preserved page images.","Separately retrieves text and page images, extracts critical evidence, then reconciles text/image agent answers.","Training-free five-agent RAG framework with ColBERT text retrieval, ColPali visual retrieval, and LLM/VLM specialist agents."
33,SimpleDoc,Yes*,Agentic Pipeline,"Uses extracted page text as an auxiliary cue together with page images and VLM-generated summaries, but is not OCR-dependent because retrieval and reasoning are primarily visual and memory-guided.","Combines dual-cue page retrieval, VLM page summaries, memory, and iterative query refinement.",Training-free agentic RAG workflow using ColQwen visual retrieval and Qwen VLM/LLM reasoning over selected/summarized pages.
36,ViDoRAG,Yes*,Agentic Pipeline,"Uses OCR text chunks in the textual retrieval pipeline, but is not fully OCR-dependent because it also uses visual retrieval and dynamic agentic inspection over images.","Dynamic iterative reasoning agents alternate retrieval, inspection, and answering over text and visual document evidence.",Training-free agentic RAG combining NV-Embed/ColQwen retrieval with Qwen/LLaMA/GPT VLM reasoning loops.
1,Arctic-TILT,Yes,Hierarchical/Global Transformer,OCR-dependent: OCR text and layout are required inputs and are fused with image features in the TILT-style encoder-decoder.,OCR-aligned text-image-layout fusion with 2D relative bias and sparse attention over very long document token grids.,T5-style encoder-decoder where OCR text/layout tokens are fused with U-Net visual features at each layer for long multi-page generation.
14,GRAM,Yes,Hierarchical/Global Transformer,OCR-dependent: it extends OCR/text-layout document VQA backbones with global document tokens and local-global reasoning.,Adds document tokens and bias adaptation so page encoders exchange global information without full quadratic attention.,DocFormerv2 encoder-decoder extended with alternating page-local and document-global transformer sublayers plus optional C-Former compression.
15,Hi-VT5,Yes,Hierarchical/Global Transformer,OCR-dependent: per-page OCR/text-layout representations are encoded before hierarchical page-summary reasoning.,Summarizes each page into learnable [PAGE] tokens and trains them with layout-aware denoising and page prediction.,"Hierarchical T5 encoder-decoder combining OCR/layout tokens, DiT visual patches, per-page encoders, and decoder over page summaries."
31,RM-T5,Yes,Hierarchical/Global Transformer,OCR-dependent: OCR word and spatial embeddings are consumed with visual features while recurrent memory carries information across pages.,Carries recurrent memory tokens page by page and uses curriculum training plus page selector for long documents.,"T5-based hierarchical/recurrent encoder-decoder with DiT visual patches, memory cells, and decoder/page head fine-tuned on full documents."
3,CoR,Yes*,Native MLLM Adaptation,"Uses OCR selectively after visual evidence localization, but it is not OCR-dependent because the model directly consumes page images and performs end-to-end locate-then-read reasoning.","Chain-of-Reading trains locate-then-read reasoning with Mask-AR, supervised CoR traces, and DPO.","Qwen2.5-VL-based MLLM with frozen vision tower, trainable LM/projector adapters, and structured reading/action outputs."
10,Docopilot,No*,Native MLLM Adaptation,"Uses OCR only indirectly: training/evaluation discuss built-in OCR capability, OCR-oriented data, and OCR baselines, while inference relies on page images and PDF-parser interleaved text-image inputs rather than external OCR.",Doc-750K fine-tuning plus multimodal data packing and Ring Attention enable native long-document MLLM reading without RAG.,InternVL2-style ViT-MLP-LLM with dynamic high-resolution tiles and long-context SFT on interleaved text-image/page inputs.
11,DocR1,No,Native MLLM Adaptation,No OCR is used; the VLM predicts evidence pages and answers from visual document inputs.,Evidence-page-guided GRPO rewards models for identifying supporting pages and answering accurately.,Qwen2.5-VL policy fine-tuned by RL on multi-page visual inputs with evidence supervision and answer rewards.
13,DocSLM,Yes,Native MLLM Adaptation,OCR-dependent: a lightweight OCR module provides word-box tokens that are fused with layout and visual crop features for compression and streaming inference.,"Compresses OCR, layout, and visual crop streams into fixed 576 tokens/page with streaming abstention for long contexts.","Small VLM with SigLIP2 vision encoder, OCR and vision compressors, MLP adapter, and Qwen2.5-1.5B generator."
16,InstructDr,Yes,Native MLLM Adaptation,OCR-dependent: an external OCR engine supplies OCR tokens and bounding boxes to the Document-former/LLM along with image features.,Document-former bridges CLIP image features with OCR/layout/instruction embeddings while freezing the base BLIP-2/FlanT5.,Parameter-efficient instruction-tuned VDU model with a trainable transformer bridge and projection FFN feeding a frozen LLM.
18,LayTokenLLM,Yes,Native MLLM Adaptation,"OCR-dependent: OCR text segments and coordinates are the primary model input, with layout tokens adding spatial information.",Encodes each OCR bounding box as a single layout token and trains NTLP to predict interleaved text/layout.,"Text-layout-only LLM adaptation using frozen LLaMA/Qwen backbones with LoRA, layout tokenizer, and layout prediction head."
19,Leopard,No,Native MLLM Adaptation,No external OCR is used; text-rich reading is handled internally by the high-resolution multi-image VLM.,Adaptive high-resolution multi-image encoding allocates visual token budget across text-rich images and compresses with pixel shuffle.,"Decoder-only MLLM using SigLIP visual encoder, MLP/resampler connector, and LLaMA/Mistral LM fine-tuned on multi-image instruction data."
27,mPLUG-DocOwl2,No,Native MLLM Adaptation,No OCR is used; it explicitly targets OCR-free multi-page document understanding from compressed high-resolution page images.,Compresses each high-resolution page into 324 visual tokens using layout-guided cross-attention after vision-to-text alignment.,"OCR-free multi-page MLLM with ViT-L/14, H-Reducer, High-resolution DocCompressor, MAM, and mPLUG-Owl2 LLM."
29,PDF-WuKong,Yes*,Native MLLM Adaptation,"Uses parsed/OCR-token text when available through the PDF parsing pipeline, but is not OCR-dependent because sparse sampling operates over interleaved text and image evidence and can select visual content.",End-to-end sparse sampler selects relevant text paragraphs and diagrams before the LLM sees the document.,"MLLM built on IXC2-VL-4KHD with shared image encoder, BGE-M3 text encoder, and trainable multimodal evidence sampler."
34,TextHawk2,No*,Native MLLM Adaptation,"Uses OCR during training/data construction and is trained for OCR tasks, but it is not dependent on an external OCR engine at inference because OCR is an internal VLM capability.",Reinforces a unified SigLIP visual encoder with OCR/grounding data and 16x token compression via QPN/ReSA.,"High-resolution LVLM with dynamic crops, QPN resampler, ReSA token compressor, detection head, grounding tokens, and Qwen2 LLM."
2,AVIR,No,Retriever-Generator,No OCR is used; evidence retrieval and answer generation operate over page images and visual embeddings.,Adaptive page retrieval with frozen Pix2Struct features and a small self-attention scorer before frozen Qwen2.5-VL generation.,"Two-stage retriever-generator: visual page scorer selects evidence pages, then a quantized LVLM answers from selected page images."
4,CREAM,Yes,Retriever-Generator,OCR-dependent: an OCR engine extracts text chunks that drive coarse-to-fine retrieval before multimodal answer generation.,Coarse-to-fine OCR chunk retrieval plus attention pooling and parameter-efficient multimodal tuning.,"Retriever-generator using frozen Pix2Struct visual encoder, AdapterMLP bridge, and LoRA-tuned LLaMA2 for answer generation from retrieved evidence."
5,DFVC,No,Retriever-Generator,No OCR is used; retrieval is based on visual page embeddings with neighboring-page context fusion.,Learns a context-fusion adapter that reweights previous/current/next page embeddings for more accurate visual retrieval.,Plug-in retriever module over frozen VisRAG/ColQwen backbones; fused page embeddings feed downstream VLM answering.
17,KGP,Yes?,Retriever-Generator,"No OCR is specified; it operates over already available passages, pages, tables, and graph structure rather than an OCR pipeline.",Builds a knowledge graph over passages/pages/tables and fine-tunes traversal agents to select next evidence nodes.,"Graph-based retriever-generator where LLM/T5/MDR agents traverse document graph, then an LLM answers from retrieved context."
21,M3DocRAG,No,Retriever-Generator,No OCR is used; it explicitly uses page-image retrieval and VLM generation instead of text extraction/OCR.,Uses multimodal page retrieval to select a compact set of relevant pages before VLM generation.,Training-free visual RAG pipeline with ColPali/ColQwen-style retrievers feeding selected page images to open VLM generators.
24,MHier-RAG,Yes,Retriever-Generator,"No OCR is used in the proposed method; it uses Docling PDF parsing, hierarchical text indexes, LVLM visual descriptions, and raw visual evidence, while OCR appears only in baselines.",Builds flattened page chunks plus cross-page topological summaries for multi-granularity evidence retrieval.,"Hierarchical multimodal RAG pipeline using PDF parsing, text embeddings, LVLM visual descriptions, summary retrieval, and LLM reranking."
25,MLDocRAG,Yes,Retriever-Generator,"OCR-dependent: OCR/MinerU-derived chunks, including OCR-derived table Markdown, are part of the retrieval units used for LVLM generation.",Generates answerable query nodes from multimodal chunks to create a graph that retrieves evidence by query similarity.,Query-centric GraphRAG over text/image/table chunks with LVLM MDoc2Query expansion and LVLM/LLM final generation.
